65-030-2-42-13-32-3 04-000-004000
65-032-2-37-12-30-3 04-000-001000
65-016-2-41-13-20-4 01-000-002000
65-010-2-38-10-17-5 15-008-531100
65-008-2-38-12-17-1 01-000-001000
65-014-2-40-13-23-5 05-008-011000
65-036-2-40-11-32-4 04-000-001000
65-010-2-37-10-34-5 15-724-501000
65-016-2-41-13-28-1 02-000-001000
65-014-2-40-13-06-5 05-001-005000
65-016-2-41-12-04-2 01-000-001000
65-042-2-40-12-34-3 04-000-002000
65-281-2-39-12-30-5 15-244-615000
65-020-2-39-13-35-5 15-318-513000
65-008-2-38-12-08-1 01-000-001000
65-024-2-41-11-10-3 01-000-001000
65-032-2-37-12-28-4 02-000-001000
65-030-2-42-13-12-4 02-000-009000
65-012-2-40-12-06-1 01-000-002000
65-038-2-41-10-13-3 03-000-001000
65-042-2-40-12-30-3 01-000-001000
65-004-2-38-13-14-1 04-000-002000
65-004-2-38-13-06-5 05-004-002000
65-024-2-41-11-28-5 05-003-001000
65-028-2-38-11-23-4 02-000-007000
65-016-2-41-13-18-2 02-000-001000
65-106-2-37-10-25-5 15-526-609500
65-010-2-37-10-02-5 05-001-002010
65-281-2-39-12-31-5 15-306-514000
65-034-2-39-12-27-5 15-394-505500
65-026-2-37-11-02-5 15-474-502000
65-034-2-39-12-30-5 15-522-513000
65-032-2-37-12-09-5 15-232-517000
65-002-2-37-13-23-1 03-000-001000
65-008-2-38-12-33-1 01-000-001000
65-020-2-39-13-23-1 03-000-001000
65-016-2-41-13-22-4 01-000-001000
65-020-2-39-13-02-2 02-000-002000
65-028-2-38-11-35-5 05-002-005000
65-020-2-39-13-07-3 01-000-002000
65-010-2-37-10-21-2 03-000-001000
65-018-2-39-11-02-2 04-000-002000
65-030-2-42-13-01-2 03-000-009500
65-038-2-41-10-28-5 15-764-504000
65-024-2-41-11-36-4 01-000-001000
65-030-2-42-13-09-4 03-000-001000
65-022-2-42-10-05-2 04-000-002000
65-014-2-40-13-22-5 05-005-002000
65-022-2-42-11-15-1 01-000-001000
65-006-2-40-10-15-1 01-000-001000
65-034-2-39-12-27-5 05-003-005000
65-008-2-38-12-01-5 05-004-005000
65-282-2-38-13-35-5 15-624-512000
65-028-2-38-11-33-5 05-003-007000
65-042-2-40-12-35-3 04-000-003000
65-282-2-38-13-36-5 05-003-001000
65-022-2-42-11-20-4 01-000-002000
65-030-2-42-13-03-4 02-000-001000
65-006-2-40-10-11-5 15-414-598000
65-016-2-41-13-26-2 04-000-001000
65-022-2-42-10-24-1 01-000-001000
65-030-2-42-13-28-5 05-003-003000
65-040-2-39-10-25-5 05-003-007000
65-012-2-41-12-31-4 01-000-001000
65-014-2-40-13-25-5 16-958-500000
65-006-2-40-10-35-3 02-000-001000
65-030-2-42-13-20-1 03-000-001000
65-012-2-41-12-35-4 03-000-005000
65-014-2-40-13-28-5 05-002-003000
65-151-2-42-12-23-5 15-532-006000
65-036-2-40-11-36-4 04-000-002000
65-030-2-42-12-04-4 01-000-004010
65-008-2-38-12-04-5 05-006-001000
65-018-2-39-11-04-1 03-000-001000
65-016-2-41-12-06-1 01-000-001000
65-010-2-38-10-16-5 15-506-602000
65-012-2-41-12-36-1 04-000-001000
65-028-2-38-11-20-1 03-000-001000
65-014-2-40-13-27-5 05-002-006000
65-008-2-38-12-05-5 05-001-004000
65-036-2-40-11-08-4 01-000-001000
65-106-2-37-10-25-5 15-092-506100
65-030-2-42-12-20-3 04-000-001000
65-042-2-40-12-35-5 15-768-573500
65-151-2-42-12-23-5 15-286-502500
65-020-2-39-13-06-4 01-000-002000
65-038-2-41-10-31-4 01-000-005000
65-281-2-39-12-31-5 15-080-007080
65-008-2-38-12-02-4 01-000-001000
65-008-2-38-12-06-5 15-711-509000
65-281-2-39-12-31-5 15-590-523500
65-024-2-41-11-14-3 03-000-001000
